ProductDescriptionID;Culture;Description
"6";"ar    ";"??? ?? ????? ???? ??????? ?????????? ????? ????? ??????? ????? ?? ???? ??????? ????????? ??? ????? ???????? ??????? ?????? ????. ????? ??????? ???????? ???? ????? ?????? ???????."
"70";"en    ";"Top-of-the-line clipless pedals with adjustable tension."
"35";"zh-cht";"????????????????????????????????????????????????????????????"
"66";"he    ";"???? ?'? ??? ??? ????? ????????."
"113";"he    ";"???? ?????????? ?? ???? ???? ?????? ?????? ????; ????? ???? ????? ??????? ??????."
"7";"en    ";"The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version."
"38";"en    ";"Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points."
"59";"th    ";"??????????????????????????? ??????????????????????"
"27";"ar    ";"?????? ???????? ??? ??????? ??????? ???? ????? ?????? ??????????? ???????? ???????? ?????? ?????? ??? ?????? ?????? ?? ??????? ?? ???? ???????? ?? ???? ???????. ????? ??? ????? ??????? ???????? ?????? ???? ?????."
"99";"th    ";"???????????????"
"95";"he    ";"???? ??????? (????-??????????)"
"105";"fr    ";"Fourche composite pour route avec tube de direction en aluminium."
"110";"ar    ";"????? ????? ??? ???? ?????? ??????."
"37";"en    ";"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort."
"16";"th    ";"?????????????????????????????????????????????? HL ???? ML ??????????????? ?????????????????????????????????  ????????????????????????"
"126";"th    ";"???????????????????????????????????????????????????"
"124";"fr    ";"Roue de secours tout-terrain pour v�t�tiste amateur � confirm�."
"11";"ar    ";"???? ???? ???? ??????? ?????? ????? ??????? ????? ?? ???????????? ???? ???? AWC."
"52";"th    ";"????????????????????????????????????"
"5";"en    ";"Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps."
"107";"fr    ";"Sac d'hydratation de 3�l polyvalent. Permet de stocker des aliments suppl�mentaires. Facile d'acc�s et fourni avec une ceinture."
"23";"ar    ";"?????? ??? ??? ?? ????? ???????? ????? ??? ????? ??????? ?? ??? ???????. ?????? ??? ???????. ??? ????? ??? ?? ????? ?????."
"71";"he    ";"?????? ?????? ????; ????? ?????????? ?????."
"113";"zh-cht";"????????????????????????"
"11";"th    ";"????????????????????????? AWC"
"98";"he    ";"?????? ?????? ?????? ???????."
"22";"en    ";"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
"110";"he    ";"??? ???? ????? ????."
"49";"ar    ";"???? ???? ?????? ????? ?????? ???????? ?????????."
"19";"ar    ";"????? ?????? ????? ??????? ?? ?????? ?? ???? ????. ????? ?????? ????? ?????? ???? HL Frame ????????? ???????? ??????? ?? ??????? ???????? ???? ???? ???????? ????? ????? ???????."
"119";"ar    ";"?????? ????? ???? ????? ??????? ?????? ?????? ???????? ??? ???? ???? ??????. ????? ???? ??? ????."
"89";"zh-cht";"?????????????"
"5";"ar    ";"??? ?? ????? ?? ???? ?? ??? ??????? ?????? ?? ?????? ?????? Bothel ???? ??? ????? ???? ????? ??? ???? ?????? ???????? ????? ????? ????? ??????? ?? ?????? ?? ?????? ??????. ?????? ???? ?????????? ??????? ????????? ??????? ??????? ??? ??? ???? ???? ???????."
"77";"fr    ";"Jante en alliage d'aluminium avec rayons en acier inoxydable�; pour une vitesse optimale."
"12";"th    ";"???????????????????????? AWC ??????????? ????????????????? ????????? ???????????"
"8";"ar    ";"???? ???? ??? ???? ???????? ????? ??? ?????? ??? ????? ?????? ?????????? ????????? ?? ???? ML ??????? ?? ??????????."
"29";"fr    ";"�quip� de la m�me technologie que tous nos v�los de route, avec un cadre femmes. Id�al pour la promenade ou la course sur route."
"51";"he    ";"???? ??? ?? ????? ??? ????? ?????."
"25";"zh-cht";"??????????????????? Adventure Works Cycles ????????????????????????????????????????"
"101";"zh-cht";"???????????????"
"87";"zh-cht";"?????????????????"
"69";"ar    ";"?????? ????? ???????? ????? ?????."
"92";"zh-cht";"?????"
"3";"th    ";"???????????????????? ??????????????? ?????????????????????????????  ??????????????????????????????? AWC"
"122";"he    ";"???? ??-?????? ???????? ?????? ??????? ??????? ??????? ????. ?????? ?????? ????? ????? ????."
"125";"zh-cht";"???????????"
"103";"he    ";"????? ???-??????."
"63";"th    ";"???????????????? ????? ????????? ???????????????????????"
"35";"en    ";"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
"105";"en    ";"Composite road fork with an aluminum steerer tube."
"124";"zh-cht";"???????????????????"
"47";"en    ";"Unique shape reduces fatigue for entry level riders."
"80";"en    ";"Designed to absorb shock."
"71";"zh-cht";"?????????????????"
"95";"en    ";"Chromoly steel."
"103";"zh-cht";"??????"
"1";"he    ";"??-????, ??? ????, ????? ????? ?????? ????."
"32";"ar    ";"???? ???? ???? ??????? ??????? ???? ????? ?????? ????? ?? ???? ???? ?? ???????? ???? ????? ????? ?????? ?????? ???? ?????."
"7";"th    ";"?????????????? HL ????????????????????????????? ?????????????????????????????? ?????????????????????????????????????  ????????????????????????"
"32";"he    ";"???? ?????,????, ????? ???, ?? ???? ???? ?????, ????? ???? ?????? ???? ??."
"99";"zh-cht";"?????????"
"91";"en    ";"High-density rubber."
"113";"en    ";"Aluminum cage is lighter than our mountain version; perfect for long distance trips."
"87";"he    ";"????? ???? ??? ????; ????? ??-???? ?????."
"85";"en    ";"Comparible traction, less expensive wire bead casing."
"28";"fr    ";"Un v�ritable v�lo multi-sports, qui offre une conduite optimis�e et une ligne r�volutionnaire. Sa ligne a�rodynamique vous permet de l'utiliser en course et ses vitesses de gravir les cols."
"18";"zh-cht";"???????????????????????????????"
"4";"ar    ";"???? ?? ?? ???? ?????? ????? ????? ?????? ????? ??? ????? ????? ??? ???? ????? ???? ??????."
"126";"zh-cht";"??????????????????"
"61";"th    ";"???????????????????????????????????? ???? 1 ????????????????????????????????????????????????"
"84";"zh-cht";"????????????????????"
"72";"ar    ";"???? ????? ????? ?? ?????????? ?? ??? ????? ?? ????? ????? ?????."
"21";"ar    ";"?????? ????? ???????? ?? ??????? ??? ???????. ????? ????? ?????? ????? ???????? ??? ??? ?? ???? ??? ????? ?? ?? ???? ??? ????? ??????? ?? ??? ??? ?? ?????? ????????."
"50";"he    ";"?????? ????? ??????? ?? ?????? ?????? ????? ?? ???? ?????."
"53";"he    ";"????? ????? ??????? ?????? ????? ?? ????."
